Place,TOWN,Max_of_MED_INC,Min_of_MED_INC,Max_of_MED_AGE,Min_of_MED_AGE,ALAND,TOT_POP,COLL_AGE,YNG_PROF,SENIOR,R_WHITE,NON_WH,R_BLACK,R_NAT_A,R_ASIAN,R_PACIF,R_OTHER,R_2,R_2INCO,R_2_EXCO,TOT_WKRS,T0_9,T10_14,T15_19,T20_24,T25_29,T30_34,T35_44,T45_59,T60,DR_ALONE,CARPOOL,TRANSIT,TR0_9,TR10_14,TR15_19,TR20_24,TR25_29,TR30_34,TR35_44,TR45_59,TR60,WALK,TOT_HSHD,TPOP18,TOT_DIS,OC_UNITS,ZERO_VEH
Mattapan,Boston,74107,12321,50.1,20.5,7086703,36646,2098,6979,4096,4045,33494,30031,68,381,0,1228,893,92,801,15350,503,1047,1306,1836,828,2911,1329,1935,3655,6878,1675,6144,25,68,96,232,159,1019,466,1212,2867,435,12398,27252,5601,12398,4004
Maynard,Maynard,98571,64833,53.2,33.8,13502223,10314,334,1390,1381,9092,1611,277,0,459,0,97,389,45,344,5460,550,580,414,619,316,962,675,799,545,4719,333,165,0,0,0,0,69,0,14,0,82,137,4257,8093,1146,4257,148
Medfield,Medfield,240278,98576,47.6,39.8,37301545,12236,347,956,1411,11307,1024,8,17,420,0,389,95,0,95,5512,426,382,404,648,264,833,593,1026,936,4772,229,391,16,0,0,0,0,0,0,99,276,83,4106,8570,532,4106,95
Medford,Medford,143611,32287,58.7,21.1,20981888,56981,4084,14672,8151,45247,13399,5218,111,4240,17,483,1665,202,1463,29781,2351,2821,3737,4083,2115,5177,3202,4055,2240,19790,2686,5099,16,60,136,305,210,906,1000,1686,780,1537,22126,46030,4544,22126,2302
Medway,Medway,150938,83243,46.9,33.3,29895565,12965,589,1616,1506,12170,1007,58,0,507,0,18,212,15,197,6583,564,607,666,556,351,840,594,935,1470,5902,360,222,0,0,0,0,0,13,0,9,200,64,4530,9494,849,4530,129
Melrose,Melrose,166641,45500,55.5,34.7,12117823,27509,645,4390,4360,25306,2492,723,4,1135,0,52,289,0,289,14332,1489,1070,1242,1685,884,2016,1855,2531,1560,10246,762,2801,15,0,13,145,102,188,552,1017,769,341,11304,21534,2460,11304,939
Mid-Cambridge,Cambridge,84219,43421,38,19.8,1215834,12703,1235,5271,1395,9686,3536,679,4,1586,18,211,519,44,475,6614,655,898,1163,860,463,1283,574,485,233,1945,246,2041,0,0,133,341,165,721,287,246,148,1623,5904,10260,688,5904,2244
Millis,Millis,103250,85469,48.4,38.4,31135996,8007,241,1068,922,7688,369,4,0,228,0,37,50,19,31,3810,557,192,363,399,259,547,416,520,557,3538,149,51,0,0,0,0,0,0,14,0,37,31,2961,6076,621,2961,0
Milton,Milton,213971,32125,60.5,21.4,33692823,27204,2455,3031,4061,21157,6595,3727,9,1575,0,188,548,155,393,12383,938,980,1167,1736,773,2200,1036,2017,1536,9186,911,1473,0,12,54,70,0,205,118,498,516,562,8995,18659,2221,8995,680
Mission Hill,Boston,84063,12417,37.6,20.1,1281971,15550,3514,5439,1433,8537,7645,2957,48,2246,0,1130,632,241,391,7559,782,1185,1012,1093,326,1268,562,615,716,1615,273,3024,0,140,144,489,121,898,326,344,562,2109,5556,12230,1817,5556,2929
